Adduct Code,Size Code,Sequence Code,Polymerase Code,Outcome Code
21,15,16,19,2
17,15,20,22,2
20,13,18,26,2
19,15,14,23,1
16,14,17,21,1
19,16,18,21,2
20,15,19,25,2
21,15,18,24,1
19,13,14,24,1
19,14,18,24,2
19,15,17,25,1
19,16,16,20,2
19,15,16,22,1
18,16,16,21,1
18,13,15,23,2
17,14,18,25,2
19,14,19,26,2
17,14,17,27,2
17,16,15,22,1
16,14,14,22,2
17,15,16,25,2
18,16,16,25,1
18,15,17,25,2
18,16,15,21,2
20,15,18,22,2
19,15,17,22,1
18,15,17,26,2
15,13,16,24,1
21,15,16,23,2
21,14,16,23,1
18,13,19,22,1
20,15,16,19,2
17,16,18,23,1
18,15,16,25,2
20,15,17,24,2
19,17,19,20,1
18,14,18,25,2
19,15,17,21,2
18,14,16,22,2
18,14,16,20,1
19,15,15,24,1
17,14,15,23,2
17,15,16,19,1
17,15,17,22,2
20,16,17,21,1
18,15,18,23,1
19,15,16,24,2
16,15,16,24,2
19,15,19,21,1
20,14,17,22,2
16,15,18,22,2
20,14,17,26,2
17,14,19,23,1
20,15,19,23,1
16,14,18,27,2
19,15,17,24,2
18,15,15,23,1
16,16,15,25,2
16,14,15,23,2
21,17,16,21,1
18,15,17,24,1
17,16,19,25,1
19,16,19,20,2
17,14,18,21,1
19,14,17,24,1
20,15,18,22,2
20,17,17,19,1
18,15,17,25,2
18,14,16,23,2
20,17,15,20,1
20,14,16,24,2
19,15,16,21,2
18,14,16,23,2
18,17,16,22,1
20,14,19,22,2
16,16,18,24,2
18,15,17,23,2
20,17,16,23,2
18,15,17,25,1
16,13,16,27,1
18,15,15,21,2
16,14,15,22,1
18,15,15,22,1
21,15,15,22,1
17,16,16,22,1
19,16,17,23,2
20,15,18,22,1
20,16,18,25,2
19,15,17,22,1
16,15,16,23,1
21,17,17,18,2
19,15,16,23,1
19,16,18,25,1
20,17,17,20,1
17,15,15,22,1
16,14,17,22,2
20,16,19,21,1
19,14,15,25,2
17,17,18,19,2
21,15,18,20,2
18,14,17,26,2
19,15,17,26,2
17,16,15,22,1
19,14,15,21,1
19,15,19,21,1
17,15,16,20,1
19,16,17,24,2
